"global_id";"Code";"Category";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefName";"ChiefPosition";"ChiefGender";"ChiefPhone";"PublicPhone";"Fax";"Email";"CloseFlag";"CloseReason";"CloseDate";"ReopenDate";"BedSpace";"PaidServiceInfo";"WorkingHours";"ClarificationWorkingHours";"Specialization";"BeneficialDrugPrescription";"DrugStore";"AmbulanceStation";"AmbulanceStationPhone";"DoctorsSpecialtiesList";"DoctorSpecialitesList";"Extrainfo";"AgeRestriction";"DrugStoreType";"EntryState";"geoData";"geodata_center";
"global_id";"Код";"Категория";"Полное наименование";"Сокращённое наименование";"Информация о юридическом лице";"Адреса объекта";"ФИО руководителя";"Должность руководителя";"Пол руководителя";"Телефон руководителя";"Общий телефон";"Факс";"Адрес электронной почты";"Признак закрытия";"Причина закрытия";"Дата закрытия";"Дата повторного открытия";"Коечный фонд";"Информация о платных услугах";"График работы";"Уточнение графика работы";"Информация о специализации";"Дополнительное лекарственное обеспечение";"Наличие аптечного киоска";"Наличие станции неотложной помощи";"Перечень телефонов неотложной помощи";"Перечень специальностей врачей (для самозаписи)";"Перечень специальностей врачей (старый)";"Дополнительная информация";"Возрастные ограничения";"Тип аптеки";"Состояние записи";"geoData";"geodata_center";
"656106175";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 7 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 7 ДЗМ";"nested data";"nested data";"Гукасов Борис Левонович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. «Ленинский проспект», две остановки на любом троллейбусе от центра, далее 5 мин. пешком.";"взрослое";"";"";"{coordinates=[[37.569961114, 55.702809742]], type=MultiPoint}";"";
"656106187";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 24 Департамента здравоохранения города Москвы». Ортопедическое отделение";"ГАУЗ СП № 24 ДЗМ. Ортопедическое отделение";"nested data";"nested data";"Гринев Андрей Валентинович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"отсутствуют";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.607236977, 55.654531979]], type=MultiPoint}";"{coordinates=[37.607236977, 55.654531979], type=Point}";
"656106198";"";"Стоматологическая поликлиника взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Щербинская больница Департамента здравоохранения города Москвы». Стоматологическая поликлиника";"ГБУЗ ЩГБ ДЗМ. Стоматологическая поликлиника";"nested data";"nested data";"Лисицина Елена Вадимовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.56620293, 55.500566557]], type=MultiPoint}";"{coordinates=[37.56620293, 55.500566557], type=Point}";
"656106225";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 19 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 19 ДЗМ";"nested data";"nested data";"Остроухова Алла Александровна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. «Фрунзенская».
От станции метро &quot;Парк Культуры&quot; ( 10 минут пешком).";"взрослое";"";"";"{coordinates=[[37.580827735, 55.731930131]], type=MultiPoint}";"{coordinates=[37.580827735, 55.731930131], type=Point}";
"656106258";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 3 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 3 ДЗМ";"nested data";"nested data";"Могучева Людмила Викторовна";"исполняющий обязанности главного врача";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд:ст.м.Серпуховская,с выходом к экономической Академии им.Плеханова";"взрослое";"";"";"{coordinates=[[37.629310778, 55.725878624]], type=MultiPoint}";"";
"656106329";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 22 Департамента здравоохранения города Москвы». Ортопедическое отделение";"ГАУЗ СП № 22 ДЗМ. Ортопедическое отделение";"nested data";"nested data";"Зимин Павел Игоревич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.782602674, 55.752765755]], type=MultiPoint}";"{coordinates=[37.782602674, 55.752765755], type=Point}";
"656106392";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 33 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 33 ДЗМ";"nested data";"nested data";"Непряхина Галина Владимировна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"суббота (дежурная) прием по острой боли с 9.00 до 18.00";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. Новослободская&quot;, &quot;Менделеевская&quot;, далее трол. 3, 47 до остановки &quot;Лесная улица&quot;.
трамваем №19 до остановки &quot;Тихвинский переулок&quot;.";"";"";"";"{coordinates=[[37.599727101, 55.787545918]], type=MultiPoint}";"{coordinates=[37.599727101, 55.787545918], type=Point}";
"656106458";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 53 Департамента здравоохранения города Москвы». Стоматологическое отделение № 1";"ГАУЗ СП № 53 ДЗМ. Стоматологическое отделение № 1";"nested data";"nested data";"Колтунов Дмитрий Ефимович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"отсутствуют";"nested data";"в выходные и праздничные дни с 8:00 до 20:00 неотложная помощь жителям";"";"";"нет";"да";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.65011056, 55.765420482]], type=MultiPoint}";"{coordinates=[37.65011056, 55.765420482], type=Point}";
"656106459";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 11 Департамента здравоохранения города Москвы». Стоматологическое отделение № 2";"ГАУЗ СП № 11 ДЗМ. Стоматологическое отделение № 2";"nested data";"nested data";"Зубкова Яна Юрьевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.512597754, 55.874748576]], type=MultiPoint}";"{coordinates=[37.512597754, 55.874748576], type=Point}";
"656106460";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 4 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 4 ДЗМ";"nested data";"nested data";"Аперян Манвел Седракович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.741624372, 55.731030114]], type=MultiPoint}";"{coordinates=[37.741624372, 55.731030114], type=Point}";
"656106509";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23 Департамента здравоохранения города Москвы». Подразделение «Новопеределкино»";"ГАУЗ СП № 23 ДЗМ. Подразделение «Новопеределкино»";"nested data";"nested data";"Тер-Абрамян Давид Рубенович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"";"nested data";"Суббота: с 9:00 до 15:00 (только терапевтические услуги)";"";"";"нет";"нет";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.339807167, 55.638850422]], type=MultiPoint}";"";
"656106527";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 62 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 62 ДЗМ";"nested data";"nested data";"Новоземцева Татьяна Николаевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"В воскресные и праздничные дни неотложная стоматологическая помощь с 8.00 до 20.00";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд на метро:м.«Царицыно», первый вагон из центра, выход из перехода направо-направо, далее идти 200 метров по ул.Каспийская, обойдя Царицынский рынок слева";"взрослое";"";"";"{coordinates=[[37.665592619, 55.618149596]], type=MultiPoint}";"";
"656106545";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 67 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 67 ДЗМ";"nested data";"nested data";"Гаджиев Сеймур Садигович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: Станция метро Новокосино, далее автобус 792 до остановки «Лицей», автобус 21 до остановки «ул. Новокосинская, 27» или пешком до ул. Новокосинская, дом. 24 Б От станции метро Выхино, далее автобус 706 до остановки «улица Южная, 15», далее пешком 10 – 15 мин.";"взрослое";"";"";"{coordinates=[[37.863655469, 55.739212685]], type=MultiPoint}";"";
"656106637";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 66 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 66 ДЗМ";"nested data";"nested data";"Баштовой Алексей Александрович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м.Пролетарская, Волгоградский пр-т, Марксистская. Проехать от м.Пролетарская. 1 вагон из центра далее пешком 5 минут вдоль Волгоградского пр-та в сторону области. от м. Марксистская далее троллейбус №27 до остановки Большой Симоновский переулок.";"взрослое";"";"";"{coordinates=[[37.674889477, 55.728325659]], type=MultiPoint}";"";
"656106660";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 13 Департамента здравоохранения города Москвы». Ортопедическое отделение";"ГАУЗ СП № 13 ДЗМ. Ортопедическое отделение";"nested data";"nested data";"Филина Екатерина Анатольевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"отсутствуют";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.720901878, 55.744964187]], type=MultiPoint}";"";
"656106746";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 32 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 32 ДЗМ";"nested data";"nested data";"Уманская Наталия Гульвардовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Детское стоматологическое отделение (ДСО), ул. Магаданская д. 12";"взрослое";"";"";"{coordinates=[[37.652963155, 55.869217108]], type=MultiPoint}";"{coordinates=[37.652963155, 55.869217108], type=Point}";
"656106806";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 50 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 50 ДЗМ";"nested data";"nested data";"Коваленко Анна Юрьевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"да";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.664661104, 55.78143677]], type=MultiPoint}";"";
"656106807";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 22 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 22 ДЗМ";"nested data";"nested data";"Зимин Павел Игоревич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"Часы работы ортопедического отделения: 
ежедневно с 8.00 до 20.00, 
суббота с 9.00 до 18.00";"";"";"нет";"нет";"nested data";"";"nested data";"Ортопедическое отделение: 111141, 2-я Владимирская ул., д. 30, корп. 1. Регистратура (495) 672-96-44";"взрослое";"";"";"{coordinates=[[37.779262806, 55.749435402]], type=MultiPoint}";"{coordinates=[37.779262806, 55.749435402], type=Point}";
"656106835";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 11 Департамента здравоохранения города Москвы». Стоматологическое отделение № 1";"ГАУЗ СП № 11 ДЗМ. Стоматологическое отделение № 1";"nested data";"nested data";"Зубкова Яна Юрьевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"да";"nested data";"";"nested data";"С острой болью Вас примут без предварительной записи (по обращаемости). Проезд до станции метро &quot;Савеловская&quot;.";"взрослое";"";"";"{coordinates=[[37.581310074, 55.795708324]], type=MultiPoint}";"{coordinates=[37.581310074, 55.795708324], type=Point}";
"656106836";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 13 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 13 ДЗМ";"nested data";"nested data";"Филина Екатерина Анатольевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.715188187, 55.756602939]], type=MultiPoint}";"";
"656106857";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 12 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 12 ДЗМ";"nested data";"nested data";"Шляхтыч Елена Адамовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: ст. м. &quot;Петровско-Разумовская&quot;, далее авт. 677,149,170 до ост. &quot;АТС&quot";"взрослое";"";"";"{coordinates=[[37.566086833, 55.864824759]], type=MultiPoint}";"";
"656106901";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 2 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 2 ДЗМ";"nested data";"nested data";"Головичева Людмила Владимировна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.515419957, 55.67438698]], type=MultiPoint}";"{coordinates=[37.515419957, 55.67438698], type=Point}";
